Descricao;ID
Administração Geral;1
Algoritmos e Lógica de Programação;2
Arquitetura e Organização de Computadores;3
Banco de Dados;4
Cálculo;5
Comunicação e Expressão;6
Contabilidade;7
Economia e Finanças;8
Eletiva - Programação para Dispositivos Móveis;9
Engenharia de Software I;10
Engenharia de Software II;11
Engenharia de Software III;12
Estatística Aplicada;13
Estruturas de Dados;14
Inglês I;15
Inglês II;16
Inglês III;17
Inglês IV;18
Interação Humano Computador;19
Laboratório de Hardware;20
Linguagem de Programação;21
Matemática Discreta;22
Metodologia da Pesquisa Científico-Tecnológica;23
Programação em Microinformática;24
Programação Orientada a Objetos;25
Sistemas de Informação;26
Sistemas Operacionais I;27
Sistemas Operacionais II;28
Sociedade e Tecnologia;29
