t=2023-10-17T17:24:45-0300 lvl=info msg="no configuration paths supplied"
t=2023-10-17T17:24:45-0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Isaac\\AppData\\Local/ngrok/ngrok.yml
t=2023-10-17T17:24:45-0300 lvl=info msg="open config file" path=C:\\Users\\Isaac\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2023-10-17T17:24:45-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2023-10-17T17:24:46-0300 lvl=info msg="client session established" obj=tunnels.session obj=csess id=98aed6425afd
t=2023-10-17T17:24:46-0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2023-10-17T17:24:46-0300 lvl=info msg="started tunnel" obj=tunnels name=custom addr=http://localhost:8080 url=https://e6f5-189-110-27-5.ngrok-free.app
t=2023-10-17T17:24:46-0300 lvl=info msg="started tunnel" obj=tunnels name=web addr=http://localhost:80 url=https://guiding-impala-capital.ngrok-free.app
t=2023-10-17T17:24:46-0300 lvl=info msg="update available" obj=updater
t=2023-10-17T17:24:56-0300 lvl=warn msg="failed to open private leg" id=e37a6f5a71a3 privaddr=localhost:80 err="dial tcp [::1]:80: connectex: No connection could be made because the target machine actively refused it."
t=2023-10-17T17:24:58-0300 lvl=warn msg="failed to open private leg" id=1e5131bc560d privaddr=localhost:80 err="dial tcp [::1]:80: connectex: No connection could be made because the target machine actively refused it."
t=2023-10-17T17:25:00-0300 lvl=warn msg="failed to open private leg" id=6a77d2c78a64 privaddr=localhost:80 err="dial tcp [::1]:80: connectex: No connection could be made because the target machine actively refused it."
t=2023-10-17T17:25:03-0300 lvl=warn msg="failed to open private leg" id=72a750493392 privaddr=localhost:80 err="dial tcp [::1]:80: connectex: No connection could be made because the target machine actively refused it."
t=2023-10-17T17:25:05-0300 lvl=warn msg="failed to open private leg" id=840bdf8b984f privaddr=localhost:80 err="dial tcp [::1]:80: connectex: No connection could be made because the target machine actively refused it."
t=2023-10-17T17:25:07-0300 lvl=warn msg="failed to open private leg" id=59069f074df2 privaddr=localhost:80 err="dial tcp [::1]:80: connectex: No connection could be made because the target machine actively refused it."
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=208e7410d394 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=e0140bdfb50f l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=210a3f343fdf l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=86fb84a63148 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=6be623108299 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=98f26b72657c l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=3c357c89dba3 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=adb37e50572e l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=10de70c18242 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=499f8c1a8594 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=c41b21ee10a7 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=c7aa6f9f9a97 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=06cceedf55ad l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=6543aff3b1ae l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=ff1bd95e8337 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:11-0300 lvl=info msg="join connections" obj=join id=de139e489e90 l=[::1]:80 r=189.110.27.5:50776
